Mortierella cystojenkinii 1230,BCCTH,SAMN05720522,PRJNA340830,SRS1930872,BGZ83,Mortierellaceae_MLST
Dissophora ornata NRRL 22417,BCCTU,SAMN05720457,PRJNA340805,SRS1932017,BGZ58,Mortierellaceae_MLST
Echinosporangium transversalis NRRL 5525,BCCTS,SAMN06281768,PRJNA364309,SRS2358157,BX616,Mortierellaceae_MLST
Haplosporangium bisporale NRRL A-12553,BCCSG,SAMN05727890,PRJNA340799,SRS1932021,BGZ52,Mortierellaceae_MLST
Haplosporangium lignicola NRRL 2525,BCCOW,SAMN05720451,PRJNA340793,SRS1932011,BGZ46,Mortierellaceae_MLST
Haplosporangium sp. NRRL 3175,BCCPO,SAMN05727888,PRJNA340796,SRS1932019,BGZ49,Mortierellaceae_MLST
Haplosporangium sp. NRRL A-10739,BCCTX,SAMN05727889,PRJNA340797,SRS1932022,BGZ50,Mortierellaceae_MLST
Haplosporangium sp. NRRL A-10996,BCCSB,SAMN05727887,PRJNA340798,SRS1932020,BGZ51,Mortierellaceae_MLST
Lobosporangium transversale NRRL 3116,BCCPH,SAMN06281768,PRJNA364309,SRS2358157,BX616,Mortierellaceae_MLST
Modicella reniformis MES-2147,BCCSY,SAMN05720516,PRJNA340812,SRS1932137,BGZ65,Mortierellaceae_MLST
Mortierella alpina AD071,BCCSN,SAMN05720461,PRJNA340814,SRS1930914,BGZ67,Mortierellaceae_MLST
Mortierella alpina AD072,BCCSS,SAMN05720462,PRJNA340815,SRS1930917,BGZ68,Mortierellaceae_MLST
Mortierella alpina CK1249,BCCGZ,SAMN05720518,PRJNA340817,SRS1930926,BGZ70,Mortierellaceae_MLST
Mortierella alpina GBA31,BCCHH,SAMN05720773,PRJNA340819,SRS1930928,BGZ72,Mortierellaceae_MLST
Mortierella alpina NRRL 66262,CTHWC,SAMN10361219,PRJNA499674,SRS4289378,EC968,ZygoLCG
Mortierella ambigua BC1065,CHXXH,SAMN09074672,PRJNA463334,SRS3664051,DFQ27,ZygoLCG
Mortierella ambigua BC1291,CHXXN,SAMN09074671,PRJNA463333,SRS3664052,DFQ26,ZygoLCG
Mortierella ambigua NRRL 28271,BCCPB,SAMN05720519,PRJNA340820,SRS1932112,BGZ73,Mortierellaceae_MLST
Mortierella antarctica KOD 1229,BCCSH,SAMN05720774,PRJNA340822,SRS1932134,BGZ75,Mortierellaceae_MLST
Mortierella beljakovae KOD 1040,BCCSX,SAMN05720775,PRJNA340823,SRS1932032,BGZ76,Mortierellaceae_MLST
Mortierella camargensis NRRL 2610,BCCOY,SAMN05727885,PRJNA340794,SRS1932652,BGZ47,Mortierellaceae_MLST
Mortierella chlamydospora AD033,BCCHP,SAMN05720793,PRJNA340826,SRS1930902,BGZ79,Mortierellaceae_MLST
Mortierella chlamydospora NRRL 2769,BCCPW,SAMN05720521,PRJNA340827,SRS1932035,BGZ80,Mortierellaceae_MLST
Mortierella claussenii NRRL 2760,CTHPN,SAMN10363166,PRJNA500529,SRS4093515,EDD11,ZygoLCG
Mortierella clonocystis AM1000,BCCTG,SAMN05720794,PRJNA340828,SRS1930920,BGZ81,Mortierellaceae_MLST
Mortierella clonocystis KOD 947,BCCNY,SAMN05720795,PRJNA340829,SRS1932039,BGZ82,Mortierellaceae_MLST
Mortierella elongata GBA34,BCCHN,SAMN05720796,PRJNA340835,SRS1931033,BGZ88,Mortierellaceae_MLST
Mortierella elongata GBA40,BCCOP,SAMN05720440,PRJNA340836,SRS1931039,BGZ89,Mortierellaceae_MLST
Mortierella elongata NVP5,BCCNX,SAMN05720527,PRJNA340837,SRS1931041,BGZ90,Mortierellaceae_MLST
Mortierella elongata NVP71,BCCOB,SAMN05720528,PRJNA340838,SRS1932007,BGZ91,Mortierellaceae_MLST
Mortierella epicladia AD058,BCCNA,SAMN05720441,PRJNA340839,SRS1930899,BGZ92,Mortierellaceae_MLST
Mortierella epicladia KOD 1059,BCCTC,SAMN05720442,PRJNA340840,SRS1932033,BGZ93,Mortierellaceae_MLST
Mortierella epigama NRRL 5512,BCCPG,SAMN05720443,PRJNA340841,SRS1932105,BGZ94,Mortierellaceae_MLST
Mortierella exigua NRRL 28262,BCCOU,SAMN05720535,PRJNA340842,SRS1932040,BGZ95,Mortierellaceae_MLST
Mortierella gamsii AD045,BCCHY,SAMN05720529,PRJNA340843,SRS1930903,BGZ96,Mortierellaceae_MLST
Mortierella gamsii NVP60,BCCNZ,SAMN05720530,PRJNA340844,SRS1932008,BGZ97,Mortierellaceae_MLST
Mortierella globulifera AD054,BCCHZ,SAMN05720444,PRJNA340845,SRS1930898,BGZ98,Mortierellaceae_MLST
Mortierella globulifera REB-010B,BCCPT,SAMN05720531,PRJNA340846,SRS1932010,BGZ99,Mortierellaceae_MLST
Mortierella horticola AD009,BCCTN,SAMN05720532,PRJNA340847,SRS1930870,BG000,Mortierellaceae_MLST
Mortierella horticola CK413,BCCHB,SAMN05720445,PRJNA340850,SRS1930925,BG003,Mortierellaceae_MLST
Mortierella humilis KOD 1050,BCCTA,SAMN05720536,PRJNA340851,SRS1932034,BG004,Mortierellaceae_MLST
Mortierella hygrophila NRRL 2591,CTHUY,SAMN10361082,PRJNA499664,SRS4288478,EC957,ZygoLCG
Mortierella minutissima AD069,BCCNO,SAMN05720476,PRJNA340852,SRS1930900,BG005,Mortierellaceae_MLST
Mortierella minutissima NVP1,BCCNS,SAMN05720446,PRJNA340853,SRS1931038,BG006,Mortierellaceae_MLST
Mortierella multidivaricata NRRL 6456,BCCTY,SAMN05720499,PRJNA340801,SRS1932111,BGZ54,Mortierellaceae_MLST
Mortierella polycephala KOD 948,BCCOA,SAMN05720452,PRJNA340858,SRS1932030,BG011,Mortierellaceae_MLST
Mortierella schmuckeri NRRL 6426,BCCPP,SAMN05720483,PRJNA340863,SRS1932110,BG015,Mortierellaceae_MLST
Mortierella selenospora KOD 1015,BCCSO,SAMN05720454,PRJNA340476,SRS1932018,BGW38,Mortierellaceae_MLST
Mortierella sp AD010,BCCTO,SAMN05720791,PRJNA340560,SRS1930868,BGX20,Mortierellaceae_MLST
Mortierella sp AD011,BCCTP,SAMN05720798,PRJNA340561,SRS1930878,BGX21,Mortierellaceae_MLST
Mortierella sp AD031,BCCNB,SAMN05720799,PRJNA340563,SRS1930905,BGX23,Mortierellaceae_MLST
Mortierella sp AD032,BCCNC,SAMN05720491,PRJNA340564,SRS1930904,BGX24,Mortierellaceae_MLST
Mortierella sp AD094,BCCTB,SAMN05720438,PRJNA340566,SRS1930916,BGX26,Mortierellaceae_MLST
Mortierella sp AM989,BCCNN,SAMN05720439,PRJNA340567,SRS1930923,BGX27,Mortierellaceae_MLST
Mortierella sp GBA30,BCCHG,SAMN05720448,PRJNA340568,SRS1930929,BGX28,Mortierellaceae_MLST
Mortierella sp GBA35,BCCHO,SAMN05720449,PRJNA340569,SRS1931034,BGX29,Mortierellaceae_MLST
Mortierella sp GBA39,BCCOO,SAMN05720493,PRJNA340570,SRS1931037,BGX30,Mortierellaceae_MLST
Mortierella sp GBA43,BCCON,SAMN05720494,PRJNA340571,SRS1931040,BGX31,Mortierellaceae_MLST
Mortierella sp NVP41,BCCNU,SAMN05720450,PRJNA340573,SRS1931042,BGX33,Mortierellaceae_MLST
Mortierella sp NVP85,BCCOG,SAMN05720496,PRJNA340574,SRS1932012,BGX34,Mortierellaceae_MLST
Mortierella sp. 14UC,BCCSU,SAMN05720455,PRJNA340477,SRS1932138,BGW39,Mortierellaceae_MLST
Mortierella sp. KOD 1030,BCCST,SAMN05720520,PRJNA340821,SRS1932023,BGZ74,ZygoLCG
Mortierella verticillata AD079,BCCSZ,SAMN07687489,PRJNA410321,SRS2661950,CPB97,Mortierellaceae_MLST
Mortierella verticillata NRRL 2611,BCCPA,SAMN05720458,PRJNA340806,SRS1932009,BGZ59,Mortierellaceae_MLST
Mortierella verticillata TTC192,BCCOS,SAMN07687234,PRJNA410574,SRS2661948,CPC16,Mortierellaceae_MLST
Mortierella wolfii NRRL 6351,BCCPN,SAMN05720777,PRJNA340479,SRS1932106,BGW41,Mortierellaceae_MLST
Mortierella wolfii NRRL 66265,BCCTZ,SAMN05720778,PRJNA340481,SRS1932107,BGW42,Mortierellaceae_MLST
Mortierella zychae NRRL 2592,CTHWB,SAMN10361244,PRJNA499697,SRS4289355,EC991,Mortierellaceae_MLST
Mortierella zychae PUST F9C,GBNUC,SAMN11510820,PRJNA535811,SRS5393869,FBU30,Mortierellaceae_MLST
